State,Percent Female,Percent Male,Percent Non-Hispanic White,Percent African American,Percent Hispanic
AK,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
AL,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
AR,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
AZ,Within Threshold,Within Threshold,Below Threshold,Within Threshold,Above Threshold
CA,Within Threshold,Within Threshold,Below Threshold,Within Threshold,Above Threshold
CO,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
CT,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Above Threshold
DC,Within Threshold,Within Threshold,Below Threshold,Within Threshold,Within Threshold
DE,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
FL,Within Threshold,Within Threshold,Below Threshold,Within Threshold,Above Threshold
GA,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
HI,Within Threshold,Within Threshold,Below Threshold,Within Threshold,Above Threshold
IA,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
ID,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
IL,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
IN,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
KS,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
KY,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
LA,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
MA,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Above Threshold
MD,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
ME,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
MI,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
MN,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
MO,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
MS,Within Threshold,Within Threshold,Below Threshold,Within Threshold,Within Threshold
MT,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
NC,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
ND,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
NE,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
NH,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
NJ,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
NM,Within Threshold,Within Threshold,Below Threshold,Within Threshold,Above Threshold
NV,Within Threshold,Within Threshold,Below Threshold,Within Threshold,Above Threshold
NY,Within Threshold,Within Threshold,Below Threshold,Within Threshold,Above Threshold
National,Within Threshold,Within Threshold,Below Threshold,Above Threshold,Above Threshold
OH,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
OK,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
OR,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
PA,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
PR,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Above Threshold
RI,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Above Threshold
SC,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
SD,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
TN,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
TX,Within Threshold,Within Threshold,Below Threshold,Within Threshold,Above Threshold
Territory,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
UT,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
VA,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
VI,Within Threshold,Within Threshold,Below Threshold,Within Threshold,Within Threshold
VT,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
WA,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
WI,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
WV,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
WY,Within Threshold,Within Threshold,Within Threshold,Within Threshold,Within Threshold
